GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZNF750	1.2597209360206	6.54793002028397	7.99811921332704	9.10513699748649e-15	2.43713771262578e-13	22.7725525403336
SAMD13	1.25225420669728	6.88960567951317	12.5413201472496	1.67483324148421e-31	3.12584785887917e-29	60.7530082447585
ITPR3	1.24470430068223	10.2491040567951	16.0119522409118	9.39412569795992e-47	7.1430148362636e-44	95.4856978977495
PPAP2C	1.24452450222778	9.51816572008114	10.807474032074	1.41981371256573e-24	1.30128462138278e-22	44.9986847129492
NKX6-1	1.24314921853244	1.88929736308316	7.79861762889447	3.76736657980023e-14	9.35236225916551e-13	21.3803171817563
DCLK1	1.24304165622388	7.19443935091278	10.3696479936792	6.40128430016106e-23	4.92203620532983e-21	41.2420719696034
NEFL	1.24033762705374	4.09717870182556	5.50806423215424	5.85543124185201e-08	4.89064293715304e-07	7.48774312083404
MYO6	1.23913003689779	11.8203937119676	12.6776751148057	4.53001010205202e-32	9.39405125203313e-30	62.0453073280925
C8orf4	1.22776105019492	10.4091592292089	10.5087651048871	1.92866467053473e-23	1.61614227290114e-21	42.4251360463317
MFSD6L	1.22546079086604	5.23989087221096	8.55291533023502	1.52872404777774e-16	5.27474028586167e-15	26.7842850670475
CD163L1	1.21904501531606	4.91464969574037	8.338605112965	7.58974192967936e-16	2.36445222786521e-14	25.210614182203
COL9A2	1.21283658973821	11.0833896551724	7.41633851209863	5.30795665101606e-13	1.09519949794331e-11	18.789709947666
TOX	1.21249775132273	6.02985679513185	10.5175934881631	1.78668744022111e-23	1.50330709621883e-21	42.5005500520283
C1orf161	1.21033370579225	4.78009756592292	11.3846923942409	8.12351669549603e-27	9.64021952361465e-25	50.0950012118861
KCNN2	1.20894040831242	9.26599269776876	10.1817548217723	3.18452672177098e-22	2.27008102770689e-20	39.6602725462366
ITPR1	1.20237834690892	10.0273724137931	11.2679524634422	2.33740891472523e-26	2.59389216320589e-24	49.0516229986726
GREM1	1.19963520084932	8.25654117647058	7.26250307566309	1.4955178761524e-12	2.83641299092919e-11	17.776464460217
RIMBP2	1.19760782511835	5.27450243407708	8.46112105940771	3.04758866043812e-16	1.00590024435361e-14	26.1066024024244
PLA2G2A	1.19650034983289	13.1461525354969	5.4438449002092	8.24177483844423e-08	6.69318186049288e-07	7.15762581763833
ACCN1	1.19518866610971	2.66355395537526	6.62365853411347	9.202435998449e-11	1.29401377430245e-09	13.7545779525897
FRK	1.19398524262043	6.18503306288032	11.6168498729025	9.75061046700472e-28	1.25112520554754e-25	52.1883394825906
WDR66	1.18780570697576	4.64785679513185	11.3882891262666	7.86248555946536e-27	9.40318160688898e-25	50.127246829778
FNIP2	1.18196960630743	9.30807139959432	9.24568053814115	7.08006556357478e-19	3.41205976573217e-17	32.0692957540989
ST6GAL2	1.17539359161792	4.82222109533468	9.62974657531484	3.1809406612878e-20	1.78917018565037e-18	35.123789352217
RORB	1.17194197994986	5.8838182555781	7.74600381222359	5.45440807196066e-14	1.3158519120723e-12	21.0177029210487
WNK2	1.17141654657475	10.8625724137931	15.0043682048882	3.54233169800463e-42	1.91379130947461e-39	85.0595416348176
STEAP4	1.16925875452519	12.947584989858	11.3170097154884	1.50032043002176e-26	1.71119880157482e-24	49.489313804452
BMP7	1.16808257623224	7.39134888438134	7.78172011752698	4.24366031661726e-14	1.0433813928162e-12	21.263650948208
LANCL3	1.16414145258981	2.14681561866126	11.6965951923641	4.68146992647327e-28	6.28173709741805e-26	52.912933306252
FAM81A	1.16098122389305	6.57108336713996	10.793690226133	1.60301271310707e-24	1.44977317181005e-22	44.878947186824
ELAVL2	1.16000683653578	5.28560060851927	7.15944433599777	2.96547083923325e-12	5.31248833590389e-11	17.1072335354844
MEX3A	1.15458481968809	7.98968580121704	9.19578918674627	1.05280890727349e-18	4.93474129368146e-17	31.6788730380109
ADAM21	1.15203351260094	3.13699817444219	9.4075009750088	1.93551061319796e-19	9.88458529575971e-18	33.3457706649105
REG4	1.14641640385685	5.94188620689655	6.10062671962806	2.1405222048147e-09	2.36136060531143e-08	10.6930914962697
TOX2	1.14352564919241	6.95452535496958	13.2912262902889	1.15936857996088e-34	3.09114765540219e-32	67.9449733783097
EFCAB4B	1.13612640281258	7.1201186612576	7.35930759889576	7.80816734197783e-13	1.55331080940702e-11	18.4120884903535
GGT1	1.13474029344191	10.9828501014199	8.63960599613854	7.9293775738015e-17	2.83606483606524e-15	27.4292486033093
TDRD6	1.13452017717905	5.87963874239352	12.3622825807559	9.22328892260421e-31	1.64655757896578e-28	59.0671040002766
H2AFY2	1.13245767369811	9.30693488843813	13.8585584212262	4.14810013043181e-37	1.31016147196562e-34	73.5151491885865
CECR7	1.1309756039404	4.98528052738337	6.74771613333864	4.23276039661141e-11	6.22928823960088e-10	14.5117037189043
SCUBE2	1.12652601642997	10.1439401622718	6.50600941430457	1.9017457606417e-10	2.51240929639474e-09	13.047419481404
APOD	1.12451258702309	11.2212801217039	10.4839957794194	2.38965512044528e-23	1.98621941792476e-21	42.2137644579714
OLIG1	1.12366785888331	2.39244016227181	8.06936450880816	5.44797680112111e-15	1.50737147880076e-13	23.2762990984433
PDE3B	1.12132336396545	9.98519432048681	16.937066737378	4.91615511546278e-51	5.72862753246069e-48	105.240335991411
KLRG2	1.11805498468393	2.54901764705883	9.40911435432339	1.91049840092109e-19	9.78118009249626e-18	33.3585749009861
ANKRD6	1.11310053780283	7.49946531440163	16.7439373376302	3.89823869530755e-50	4.0015420207332e-47	103.191407760965
SEMG2	1.11226343810916	2.75828255578094	4.35364128813079	1.6296394395535e-05	7.97152673195935e-05	2.08842183670299
IHH	1.10784799846838	6.96545922920892	7.68652211554547	8.26892827959224e-14	1.95352241173796e-12	20.6100670779697
TMEM217	1.10683651141742	4.22000040567952	9.92882947621955	2.68016232572971e-21	1.70881156978978e-19	37.5608373238359
SH3GL2	1.10515210247841	5.46972636916836	6.91392693047705	1.46894329964963e-11	2.33597257488822e-10	15.5443097035084
CDH10	1.10488436194653	5.57333326572008	7.99910279635175	9.04101311039624e-15	2.42630064256778e-13	22.7794837163299
MTUS2	1.10414456801726	4.99442860040568	8.49662140829025	2.33536277846462e-16	7.82136995789212e-15	26.3680445639199
CSGALNACT1	1.10326618281814	11.1736395537525	12.8239657012724	1.10528634846857e-32	2.46647051457171e-30	63.439576435712
GGT3P	1.10233921783626	6.36545030425964	8.75548079389633	3.27331261063239e-17	1.25141727926039e-15	28.2987840439679
STXBP5L	1.09255904344193	5.51646044624747	7.89471358617429	1.90726312631036e-14	4.9377190394895e-13	22.0475331304312
IKZF1	1.08782112225004	7.25602697768763	10.3304972559603	8.95595236888932e-23	6.86066052736186e-21	40.9109437543429
MUC12	1.08682852269563	6.58299513184583	4.91624163070295	1.20397587958802e-06	7.6548853539616e-06	4.57669496809025
MSX2	1.08643104288498	5.40591906693712	9.37149378159395	2.58640447936703e-19	1.31432881092587e-17	33.0604038801351
PEX10	1.0830228679337	10.5487799188641	11.0801496848388	1.26295937659237e-25	1.29642780007207e-23	47.3864267567144
PCDHB10	1.07739017857141	6.68891724137931	9.25482700312325	6.58231501687518e-19	3.18714451170867e-17	32.1410320159625
SLC22A16	1.07616288986354	2.18547667342799	7.83316246543142	2.95173064395988e-14	7.49987996540797e-13	21.6194392979568
